"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"59","RT @celtics: What a look by Tatum! <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> https://t.co/l9aH98i82N",FALSE,0,NA,2018-04-27 02:01:15,FALSE,NA,"989685878028152833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wilsonthegreat_",77,TRUE,FALSE,NA,NA
"60","The Celtics enter the quarter down 9, fall behind by 14, come all the way back to tie it, and then exit the quarter… https://t.co/RRupFTvVYf",FALSE,0,NA,2018-04-27 02:01:14,TRUE,NA,"989685876002295809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mbken84",0,FALSE,FALSE,NA,NA
"61","RT @CoachJimBoone: “When the Ball sticks, when we hold the Ball...bad things happen.” ~ Brad Stevens @celtics @CelticsLife https://t.co/1dc…",FALSE,0,NA,2018-04-27 02:01:14,FALSE,NA,"989685874546929664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CoachChrisBball",14,TRUE,FALSE,NA,NA
"62","RT @celtics: Rozier hits the 3-pointer off the window after some sweet ball movement! https://t.co/SOkaUHOMun",FALSE,0,NA,2018-04-27 02:01:14,FALSE,NA,"989685874467229696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tsuneyy",66,TRUE,FALSE,NA,NA
"63","RT @NBAonTNT: What a find by the rook. <ed><U+00A0><U+00BD><ed><U+00B1><U+0080>

Here comes the @celtics! <U+2618><U+FE0F>

#NBAPlayoffs | #CUsRise https://t.co/Bxq77qZzme",FALSE,0,NA,2018-04-27 02:01:12,FALSE,NA,"989685866615500800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","severefedner",21,TRUE,FALSE,NA,NA
"64","RT @celtics: Tatum gets past the defense and finishes the and-one! https://t.co/8UQXOjswFR",FALSE,0,NA,2018-04-27 02:01:12,FALSE,NA,"989685866124726273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tsuneyy",76,TRUE,FALSE,NA,NA
"65","If the 4th quarter lineup doesn’t include Marcus Smart, J&amp;J, Terry, and Al Horford playing 12 minutes then the Celtics taking an L...",FALSE,0,NA,2018-04-27 02:01:12,FALSE,NA,"989685865260732417",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ReemtheFirst",0,FALSE,FALSE,NA,NA
"66","Go go Boston Celtics #nbaonabscbn https://t.co/3tqLsPFl0u",FALSE,0,NA,2018-04-27 02:01:11,FALSE,NA,"989685860160307200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MainamahalK",0,FALSE,FALSE,NA,NA
"67","RT @waheedstheWorst: Me Watching this Bucks Celtics game like neither team can fuck with my squad #Sixers #HereTheyCome #PhilaUnite https:/…",FALSE,0,NA,2018-04-27 02:01:10,FALSE,NA,"989685859023835136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Danny_PTJ",2,TRUE,FALSE,NA,NA
"68","RT @celtics: Horford rocks the rim! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> https://t.co/K3xtuxHnGQ",FALSE,0,NA,2018-04-27 02:01:10,FALSE,NA,"989685856641437696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tsuneyy",86,TRUE,FALSE,NA,NA
"69","RT @LocksDFS: If the Celtics come back and win this game, I'll give away $30. Retweet and follow for a chance. Good luck! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/nK…",FALSE,0,NA,2018-04-27 02:01:10,FALSE,NA,"989685856222007297",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Christo85607944",45,TRUE,FALSE,NA,NA
"70","RT @Matt_Velazquez: Bucks entered the 3rd quarter up 9 and they end it that way as well, up 74-65. Lots of twists and turns along the way a…",FALSE,0,NA,2018-04-27 02:01:10,FALSE,NA,"989685855978704896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","speergopackers",2,TRUE,FALSE,NA,NA
"71","Que tragedia esse quarto do Celtics... #NBAnoSporTV #CUsRise",FALSE,0,NA,2018-04-27 02:01:09,FALSE,NA,"989685855135649792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","josehunzicker",0,FALSE,FALSE,NA,NA
"72","Down 9. 1 quarter to go. Cmon #celtics we’ve come back from worse!",FALSE,0,NA,2018-04-27 02:01:09,FALSE,NA,"989685854556782592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marcmalon2",0,FALSE,FALSE,NA,NA
"73","Despite a whole bunch happening in the third quarter, the Celtics face the same margin as they did at halftime: 9 p… https://t.co/81OLJFL69T",FALSE,1,NA,2018-04-27 02:01:09,TRUE,NA,"989685852510007296",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","KeithSmithNBA",0,FALSE,FALSE,NA,NA
